ID,predicted_answer,valid_answers,achieved_score,max_score,is_correct,semi_correct
Na-ko-25,wrestling,"{'football': 4, 'morning exercise': 1, 'wrestling': 1, 'warming up': 1, 'aerobic exercise': 1, 'volleyball': 1, 'basketball': 1, 'ping pong': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,4,False,True
New-en-79,london,"{'london': 5, 'West End of London': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Al-en-16,3,"{'3': 4, '2': 3, '1': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
New-as-89,halloween costumes,"{'fourth of july clothes': 1, 'christmas decor': 1, 'halloween outfits': 1, 'no-answer': 2, 'not-applicable': 2, 'idk': 1}",0,2,False,False
Gu-ch-32,9,"{'8': 1, '9': 1, '2': 1, '12': 1, 'no-answer': 1, 'idk': 1, 'not-applicable': 0}",1,1,True,True
New-su-57,chicken,"{'chicken': 3, 'cows': 3, 'pigs': 2, 'chickens': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
New-pe-16,american football,"{'american football': 5, 'baseball': 4, 'basketball': 2, 'soccer': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Sa-en-31,dog,"{'dog': 5, 'cat': 3, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Th-en-44,Sunday roast,"{'Sunday roast': 2, 'Roast dinner': 1, 'fish & chips': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,2,True,True
Th-en-22,2007,"{'2008': 2, 'three years of difficulty': 1, '2007': 1, '1953 famine': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
New-ch-70,no-answer,"{'none': 1, 'idk': 2, 'not-applicable': 1, 'no-answer': 1}",1,2,False,True
Sa-en-13,candy,"{'meat': 2, 'barbeque': 1, 'steak': 1, 'candy': 1, 'anchovies': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
Th-en-37,25,"{'30': 2, '22': 1, '21': 1, '18': 1, '25': 1, '23': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",1,2,False,True
New-ko-09,dine together,"{'dine together': 3, 'travel': 2, 'karaoke': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
Kik-in-11,putuo temple,"{'shaolin temple': 3, 'wudang mountains': 1, 'mount wutai': 1, 'temple of heaven': 1, 'blagoveshchensk': 1, 'lingyin temple': 1, 'yonghe temple': 1, 'putuo temple': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
Ne-ar-31,burgers,"{'fish & chips': 4, 'curry': 2, 'bangers and mash': 1, 'steak pies': 1, 'roast beef': 1, 'yorkshire pudding': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",0,4,False,False
New-am-72,no-answer,"{'tintin': 2, 'me and my dad': 1, 'idk': 4, 'no-answer': 2, 'not-applicable': 0}",2,4,False,True
Ne-ar-20,teaching,"{'teaching': 3, 'IT technician ': 1, 'office work': 1, 'lawyer': 1, 'police': 1, 'civil servant': 1, 'idk': 0, 'no-answer': 1, 'not-applicable': 0}",3,3,True,True
Ki-pe-24,arabic,"{'arabic': 4, 'english': 1, 'france': 1, 'german': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
Jo-sp-39,7,"{'6': 3, '7': 2, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,3,False,True
Ca-sp-38,apartment,"{'apartment': 5, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
New-su-21,walk,"{'tai chi': 3, 'play chess': 1, 'square dance': 1, 'walk': 1, ""park's fitness equipment"": 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
Kik-in-24,rice,"{'rice': 2, 'fries': 1, 'meal': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,2,True,True
New-en-75,12,"{'12': 3, '10': 1, '9': 1, 'idk': 2, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
Nu-in-05,9,"{'9': 5, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
New-ch-27,muhammad ali,"{'muhammad ali': 4, 'Mayweather': 2, 'mike tyson': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
Jo-sp-01,idk,"{'basketball': 3, 'soccer': 2, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
New-am-34,school,"{'home': 4, 'school': 2, 'library': 2, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,4,False,True
Ki-pe-43,barbari,"{'sangak': 5, 'barbari': 5, 'taftoon': 2, 'lavash': 2, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Na-ko-25,netball,"{'running': 2, 'sack race': 2, 'soccer': 1, 'netball': 1, 'hockey': 1, 'jumping': 1, 'egg and spoon race': 1, 'obstacle race': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
New-en-59,australia,"{'canada': 4, 'america': 4, 'australia': 3, 'uk': 2, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,4,False,True
Ne-ar-26,microsoft,"{'microsoft': 2, 'google': 2, ""McDonald's"": 1, 'nike': 1, 'amazon': 1, 'apple': 1, 'target': 1, 'ge': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Ji-ko-45,alcohol,"{'alcohol': 2, 'pub crawl': 1, 'music': 1, 'find a hook up': 1, 'drugs': 1, 'beer': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,2,True,True
New-pe-74,free,"{'free': 4, '3 million': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
Sa-en-1,kentucky house,"{'hyda': 2, 'kentucky house': 1, 'pizza pizza': 1, 'idk': 3, 'not-applicable': 2, 'no-answer': 0}",1,3,False,True
Ta-pe-10,25,"{'30': 3, '25': 2, '20': 1, '29': 1, '22': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,3,False,True
New-en-76,mehrabad,"{'imam khomeini airport': 5, 'mehrabad': 2, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,5,False,True
Gu-ch-33,11,"{'11': 1, '7': 1, '8': 1, '10': 1, '12': 1, '5': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,1,True,True
Al-en-02,no-answer,"{'not-applicable': 4, 'no-answer': 1, 'idk': 0}",1,4,False,True
Kik-in-07,not-applicable,"{'easter eggs': 1, 'not-applicable': 4, 'idk': 1, 'no-answer': 0}",4,4,True,True
Na-ko-25,basketball,"{'baseball': 4, 'soccer': 3, 'american football': 3, 'basketball': 2, 'dodge ball': 1, 'tag': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,4,False,True
New-am-41,year 11,"{'year 11': 2, 'year 6': 1, ""We didn't have grades when I was at school - it was age - therefore 16"": 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Jod-ch-38,rugby,"{'soccer': 5, 'cricket': 2, 'rugby': 2, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,5,False,True
